name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Arizona Mentor,Hawthorne,5621 South 51st Drive,,Laveen,Arizona,85339,602-200-9494,,,,,MH * RES * RTCA * AT CBT GT IPT * PVTP * CMHG CSBG MD SF SMHA * SMI * STU * TCC * ADLT SNR YAD * VPPD * DEC PRS SPS
Beautiful Beginnings Sober Living Home,,4813 West Caldwell Street,,Laveen,Arizona,85339,623-418-8313,623-418-8312,,,,SA MH * GT * PVTP * ITU SF * SS * ADLT YAD * VPPD
Marana Health Center Inc,DBA MHC Healthcare,13395 North Marana Main Street,Building B,Marana,Arizona,85653,520-682-1091,,,,,SA MH SUMH * OP * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * CBT CRT CFT DBT EMDR GT IDD IPT TELE * PEON * PVTN * FQHC * MC MD MI PI SF SI SWFS * SS * TAY SE GL VET ADM MF CJ CO DV TRMA TBI PEFP PTSD SED SMI * STU * TBS LABT * HS PEER * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * COOT DEC SEMP VRS CM IPC SPS
La Frontera Arizona EMPACT SPC,,21476 North John Wayne Parkway,Suite C-101,Maricopa,Arizona,85139,520-316-6068,520-316-6068 x3,480-784-1514,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE AIM * PVTN * MD SF * SS * TRMA PTSD * STU * MST * HS PEER * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * AOT COOT DEC FPSY PRS SEMP SH VRS CM SPS
Spring Ridge Academy,,13690 South Burton Road,,Mayer,Arizona,86333,928-632-4602 x1140,928-632-4602,,,,SA MH SUMH * PHDT RES * MSMH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON * PVTP * MI PI SF VAF * GL MF CO TRMA PED PTSD SED * SMON * CHLD * VAPN * FPSY IMR IPC SPS ES
A New Leaf Inc,Dorothy B Mitchell Counseling Center,1655 East University Drive,,Mesa,Arizona,85203,480-969-6955,,,,,SA MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IPT TELE * PVTN * CMHG MD PI SCJJ SF SWFS * SS * STU * SMON * ADLT CHLD YAD * AH SP * VAPN * FPSY CM SPS
Arizona Mentor,Keats,7561 East Keats Avenue,,Mesa,Arizona,85209,602-200-9494,,,,,MH * RES * RTCA * AT CBT GT IPT * PVTP * CMHG CSBG MD SF SMHA * SMI * STU * TCC * ADLT SNR YAD * AH * VPPD * DEC PRS SPS
Chicanos Por La Causa,Centro Esperanza,325 North Stapley Drive,,Mesa,Arizona,85203,480-615-3800,,,,,SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI CLOZA RISPE ANTPYCH * CBT DBT GT IDD IPT TELE * PEON * PVTN * CMHG MC MD PI * CO SMI * STU * MST LABT * PEER * ADLT SNR YAD * AH SP * VPPD * COOT CM
Community Bridges Inc,CPEC OSC,358 East Javelina Avenue,Suite 101,Mesa,Arizona,85210,480-507-3180,877-931-9142,,,,SA MH SUMH * OP * OMH * NRT NSC * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CMHG MC MD MI PI SF SI SMHA * PA * CO * STU * PEER * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * COOT FPSY IMR PRS CM IPC SPS ES
Family Service Agency,Mesa Site,1107 South Gilbert Road,Suite 104,Mesa,Arizona,85204,480-507-8619,602-726-4328 x8618,602-726-4339 x8662,,,SA MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * MC MD SF SWFS * SS * CO * ADLT CHLD SNR YAD * SP * VPPD * FPSY
Lifewell Behavioral Wellness,,6915 East Main Street,,Mesa,Arizona,85207,602-808-2800,,602-808-2822,,,SA MH SUMH * OP * OMH * CBT DBT EMDR GT IDD IPT TELE * PVTN * CMHG MC MD MI SF * SS * CO * MST * PEER * ADLT SNR YAD * AH * VPPD * ACT CDM COOT PRS SEMP VRS CM IPC SPS ES
Lifewell Behavioral Wellness,,262 East University Drive,,Mesa,Arizona,85201,602-808-2800,,602-808-2822,,,SA MH SUMH * OP * OMH * CBT DBT EMDR GT IDD IPT TELE * PVTN * CMHG MC MD MI SF * SS * CO * MST * PEER * ADLT SNR YAD * AH * VPPD * ACT CDM COOT PRS SEMP VRS CM IPC SPS ES
Marc Community Resources Inc,,4250 East Florian Avenue,,Mesa,Arizona,85206,480-844-1653,,,,,MH * OP * OMH * CBT GT TELE * PVTN * MC MD * CO SED * ADLT CHLD SNR YAD * AH * VPPD * CM
Marc Community Resources Inc,El Jardin,418 South Hall,,Mesa,Arizona,85204,480-969-3800 x152,,,,,MH * OP * PVTN * MD SI * HS * ADLT SNR YAD * AH * VPPD * SH CM
Marc Community Resources Inc,Wesleyan,737 West Guadallte Road,Suite 114,Mesa,Arizona,85210,480-969-3800 x152,,,,,MH * ORES * PVTN * MC MD * ADLT SNR YAD * AH * VAPN
Resolution Group,,623 West Southern Avenue,Suite 7,Mesa,Arizona,85210,480-962-9288,480-962-9288 x103,,,,MH * OP * OMH * AT CBT CFT DBT GT IPT TELE * PVTP * MHC * CMHG ITU MD PI SCJJ SF * TAY CJ SMI * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * COOT FPSY ES
SEEK Arizona,,1830 South Alma School Road,Suite 130,Mesa,Arizona,85210,480-902-0771 x124,,480-902-0771 x100,,,MH SUMH * OP * OMH * AT CFT GT IPT TELE * PVTP * CLF MC MD MI OSF PI SF SI SMHA SWFS * TAY TBI SED * SMON * ADLT CHLD YAD * AH SP * VAPN * PRS ES
Stand Together and Recover Centers,,1310 West University Drive,,Mesa,Arizona,85201,480-649-3642,,,,,MH SUMH * OP * OMH * AT CBT DBT GT IDD IPT TELE * PVTN * CLF CMHG CSBG MC MD PI SF SI SMHA * SS * TAY SE GL VET CJ CO HV TRMA TBI PTSD SMI * PEER * TCC * ADLT SNR YAD * AH SP * VPPD * CDM COOT DEC IMR PRS VRS SPS ES
Terros Health,Stapley Drive/Integrated Care,1111 South Stapley Drive,,Mesa,Arizona,85204,602-302-7900,602-685-6000 x0,602-685-6000 x1950,,,SA MH SUMH * OP * CMHC * CBT CFT DBT GT IDD IPT TELE * WI * PVTN * FQHC * CMHG CSBG MC MD PI SF SWFS * SS * TAY CO TRMA PTSD * STU * PEER * SMON * ADLT CHLD SNR YAD * AH SP * ACT COOT FPSY IMR SEMP CM IPC SPS ES
Transitional Living Community,,32 South Macdonald Street,,Mesa,Arizona,85210,602-397-1085,480-969-1471,,,,SA MH SUMH * OP PHDT * MSMH * CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE NRT ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * PVTN * ITU MD MI PI SF SMHA * SS * GL * STU * HS * TCC * ADLT SNR YAD * AH SP * VPPD * COOT SEMP SH CM
Valle del Sol,,4135 South Power Road,Suite 108,Mesa,Arizona,85212,602-258-6797,602-523-9312,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * PEON PEOFF WI * PVTN * CMHG CSBG MC MD OSF PI SF SI SMHA SWFS * SS * TAY CO SMI * STU * TBS MST * HS PEER * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * CDM COOT FPSY PRS VRS CM SPS ES
Valle del Sol,,334 West 10th Place,Suite 100,Mesa,Arizona,85201,602-258-6797,602-523-9312,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * PEON PEOFF WI * PVTN * FQHC * CMHG CSBG FG MC MD OSF PI SF SI SMHA SWFS * SS * TAY CO SMI * STU * TBS MST * HS PEER * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * CDM DEC FPSY ICM PRS VRS CM IPC SPS ES
Valleywise Behavioral Health Center,Mesa,570 West Brown Road,,Mesa,Arizona,85201,480-344-2086,480-344-2195,480-344-2194,,,SA MH SUMH * HI OP * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT TRIFL ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IPT AIM * LCCG * CLF MC MD OSF PI SCJJ SF SMHA * CJ CO SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * ACT COOT FPSY CM
Arizonas Children Association,,1860 North State Drive,Suite 6,Nogales,Arizona,85621,520-377-0843,800-944-7611 x2293,,,,MH * OP * OMH * CBT CFT DBT GT IPT TELE AIM * PVTN * CMHG MD PI SF SI SWFS * SS * TAY GL TRMA PTSD SED * MST * CHLD YAD * AH SP FX * F4 * VPPD * FPSY ICM CM SPS
Community Health Associates,Nogales,32 Boulevard Del Rey David,,Nogales,Arizona,85621,520-394-7400,,,,,SA MH SUMH * OP * OMH * CHLOR DROPE FLUPH HALOP PROCH THIOT THIOR TRIFL ARIPI ASENA CLOZA OLANZ OLANZF QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTP * MHC * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS * TAY SE CJ CO TRMA TBI PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * CDM COOT DEC FPSY ICM IMR PRS SH VRS CM IPC SPS
Intermountain Health Centers Inc,,276 West View Point Drive,,Nogales,Arizona,85621,520-281-0678,,,,,SA MH SUMH * OP * OMH * AT CBT DBT IDD IPT TELE * PEON * PVTN * FQHC MHC * CLF MD PI SCJJ * TAY SE GL CO TRMA PED PTSD SED * STU * ADLT CHLD YAD * SP * VPPD * ACT FPSY ICM PRS SEMP TPC VRS CM SPS
Nogales,HOPE Inc,1891 North Mastick Way,Suite A,Nogales,Arizona,85621,520-287-9612,,,,,SA MH SUMH * OP * OMH * CBT GT * PVTN * CLF CMHG MD * SE CO PTSD SMI * PEER * ADLT SNR YAD * AH SP * VPPD * SEMP CM ES
Canyonlands Community Healthcare,,827 Vista Avenue,,Page,Arizona,86040,928-645-8123,,,,,SA MH * OP * CMHC * NRT NSC * CBT CFT IDD IPT TELE * WI * PVTN * FQHC * MC MD PI SF SI * PA SS * TAY SE CO TRMA PTSD * STU * PEER * TCC * SMON * ADLT CHLD SNR YAD * SP NX * CDM COOT DEC FPSY IMR SEMP TPC VRS CM IPC SPS ES
Canyonlands Healthcare,Lake Powell Medical Center,467 Vista Avenue,,Page,Arizona,86040,928-645-8123 x2212,,,,,SA MH * OP * OMH * NRT NSC * CBT CFT GT IDD IPT TELE * PVTN * FQHC MHC * MC MD PI SF * PA SS * TAY SE GL VET ADM MF CJ CO HV TRMA PTSD SED * STU * TCC * SMON * ADLT CHLD SNR YAD * AH SP NX * COOT DEC FPSY CM IPC SPS ES
Encompass Health Services,Page Outpatient,463 South Lake Powell Boulevard,,Page,Arizona,86040,928-645-5113,,,,,SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CMHG CSBG FG ITU MC MD MI PI SF SI VAF * CJ CO TRMA SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * AOT CDM COOT DEC FPSY ICM IMR PRS SEMP SH VRS CM IPC SPS ES
Community Health Associates,,1516 Ocotillo Avenue,,Parker,Arizona,85344,928-669-5319,,928-376-0026,,,SA MH SUMH * OP * OMH * CHLOR DROPE THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE OLANZ OLANZF QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF * PVTP * MHC * CLF CMHG CSBG MC MD MI OSF PI SF SI SMHA SWFS * SS * TAY MF CJ CO TBI PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * CDM COOT FPSY ICM IMR VRS CM IPC
PSA Behavioral Health Agency,DBA Resilient Health,820 California Avenue,Suite 104,Parker,Arizona,85344,928-669-5415,,,,,MH SUMH * OP * OMH * AT CFT GT TELE * PVTN * MD SF * CO TRMA SMI * STU * PEER * ADLT SNR YAD * VPPD * PRS
Caring Connections for,Special Needs LLC,708 Highway 260,Suite C-7,Payson,Arizona,85541,520-639-9006,,,,,MH SUMH * OP * OMH * PVTP * CMHG MD * SMON * CHLD * AH * VAPN * FPSY CM
Community Bridges Inc,Payson Outpatient Services Center,803 West Main Street,,Payson,Arizona,85541,928-468-0022,877-931-9142,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * CBT GT IPT * CIT PEOFF * PVTN * FG MC MD PI SF * PA * CO SMI * STU * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * CM
Community Bridges Inc,Payson Outpatient Services Center 2,803 West Main Street,,Payson,Arizona,85541,928-468-0022,877-931-9142,,,,SA MH SUMH * OP * OMH * NRT * CBT CFT DBT GT IDD IPT TELE * CIT WI * PVTN * MHC * CLF CMHG CSBG ITU MC MD OSF PI SCJJ SF SI SMHA VAF * CO SMI * STU * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * CDM COOT DEC ICM PRS SEMP SH VRS CM SPS ES
Arizona Mentor,Jasmine,12502 North 85th Lane,,Peoria,Arizona,85381,602-200-9494,602-200-9494 x2023,602-200-9494 x4975,,,SA MH SUMH * RES * RTCA * AT CBT GT IDD IPT * PVTP * CMHG CSBG MD SF SMHA * CO SMI * STU * TCC * ADLT SNR YAD * VPPD * DEC PRS SPS
Choice Wellness,,29400 North 123rd Glen,,Peoria,Arizona,85383,480-527-3873,623-326-0312,,,,SA MH SUMH * RES * RTCA * AT CBT CRT CFT DBT GT IDD IPT * CIT * PVTP * MD * TAY SE GL CO DV TRMA PTSD SMI * ADLT SNR YAD * VPPD * DEC FPSY IMR CM IPC
Hope Community Services, Formerly West Valley Child Crisis Ctr,13760 North 93rd Avenue,Suite 101,Peoria,Arizona,85381,623-848-8863,,,,,SA MH SUMH * OP * OMH * AT CBT CFT EMDR IDD IPT * PVTN * MD * TAY GL CO TRMA PTSD SED * SMON * CHLD * AH SP * VAPN * FPSY CM
Partners in Recovery LLC,West Valley Campus,14100 North 83rd Avenue,Suite 100,Peoria,Arizona,85381,623-583-0232,,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT GT TELE * PVTN * MC MD PI SF * CO * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * ADLT SNR YAD * AH * VPPD * ACT COOT DEC PRS VRS CM IPC SPS
Southwest Network,Bell Road,9051 West Kelton Lane,,Peoria,Arizona,85382,623-815-5700,602-304-0014,,,,SA MH * OP * OMH * CBT CFT GT IPT TELE * PEON PEOFF * PVTN * CMHG MC MD PI SF SMHA * PA SS * TAY SE CO DV TRMA PED PEFP PTSD SED * STU * ADLT CHLD YAD * AH SP FX * F81 * VAPN * ICM PRS CM
2nd Chance Treatment Center,,16620 North 40th Street,Suite H-4,Phoenix,Arizona,85032,602-464-9576,,,,,SA MH SUMH * OP * OMH * CBT GT IDD IPT TELE * PVTP * MHC * MC MD MI PI SF VAF * PA * ADLT SNR YAD * AH SP NX FX * F17 F36 * VPPD * COOT
2nd Chance Treatment Center,,6535 West Camelback Road,Suite 4,Phoenix,Arizona,85033,623-231-5535,,,,,SA MH SUMH * OP * OMH * CBT GT IDD IPT TELE * PVTP * MHC * MC MD MI PI SF VAF * PA * ADLT SNR YAD * AH SP NX FX * F36 * VPPD
Ahwatukee Health Care,,16515 South 40th Street,Suite 119,Phoenix,Arizona,85048,480-272-8450,,,,,SA MH SUMH * OP * NRT NSC * CBT DBT IDD IPT TELE * PVTP * MHC * ITU MC MD MI PI SF SI * SE VET ADM MF CO PTSD * STU * HIVT MST LABT * TCC * ADLT SNR YAD * VPPD * COOT FPSY ES
Arizona Mentor,Aztec,2413 North 92nd Lane,,Phoenix,Arizona,85037,602-200-9494,,,,,MH * RES * RTCA * AT CBT GT IPT * PVTP * CMHG CSBG MD SF SMHA * SMI * STU * TCC * ADLT SNR YAD * VPPD * DEC PRS SPS
Arizona Mentor,Cactus,12002 North 28th Street,,Phoenix,Arizona,85028,602-200-9494,,,,,MH * RES * RTCA * AT CBT GT IPT * PVTP * CMHG CSBG MD SF SMHA * SMI * STU * TCC * ADLT SNR YAD * VPPD * DEC PRS SPS
Arizona Mentor,Cambridge,9131 West Cambridge Avenue,,Phoenix,Arizona,85037,602-200-9494,,,,,MH * RES * RTCA * AT CBT GT IPT * PVTP * CMHG CSBG MD SF SMHA * SMI * STU * TCC * ADLT SNR YAD * VPPD * DEC PRS SPS
Arizona Mentor,Chestnut,9287 West Belvoir Road,,Phoenix,Arizona,85037,602-200-9494,,,,,MH * RES * RTCA * AT CBT GT IPT * PVTP * CMHG CSBG MD SF SMHA * SMI * STU * TCC * ADLT SNR YAD * VPPD * DEC PRS SPS
Arizona Mentor,Evergreen,9225 West Elm Street,,Phoenix,Arizona,85037,602-200-9494,,,,,MH * RES * RTCA * AT CBT GT IPT * PVTP * CMHG CSBG MD SF SMHA * SMI * STU * TCC * ADLT SNR YAD * VPPD * DEC PRS SPS
Arizona Mentor,Meadowbrook,8439 West Meadowbrook Avenue,,Phoenix,Arizona,85037,602-200-9494,,,,,MH * RES * RTCA * AT CBT GT IPT * PVTP * CMHG CSBG MD SF SMHA * SMI * STU * TCC * ADLT SNR YAD * VPPD * DEC PRS SPS
Arizonas Children Association,,3636 North Central Avenue,Suite 300,Phoenix,Arizona,85012,602-234-3733 x2527,800-944-7611 x2293,,,,MH * OP * OMH * CBT CFT DBT GT IPT TELE AIM * PVTN * CMHG MD PI SF SWFS * SS * TAY GL TRMA PTSD SED * MST * CHLD YAD * AH SP * VPPD * FPSY ICM CM SPS
Banner University Medical Center,Behavioral Health Center,1111 East McDowell Road,"Tower 1, 9th Floor",Phoenix,Arizona,85006,602-839-9650,,,,,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON * PVTN * ITU MC MD MI PI SF SI SMHA VAF * TAY GL VET ADM MF CO HV TRMA TBI PTSD SMI * STU * HIVT STDT TBS * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * CDM DEC FPSY CM IPC SPS
Banner University Medicine,Behavioral Health Center,1300 North 12th Street,Suite 320,Phoenix,Arizona,85006,602-521-3600,480-684-5158,602-521-3600 x3,,,MH * OP * OMH * CBT CFT DBT IPT TELE * PVTN * MC MD MI PI SF * STU * SMON * ADLT SNR YAD * AH * VAPN
Black Family and Child Servs Inc,,1522 East Southern Avenue,,Phoenix,Arizona,85040,602-243-1773 x256,602-243-1773,,,,SA MH * OP * OMH * CBT CFT GT IPT TELE * PVTN * MD SF SWFS * SMON * ADLT CHLD SNR YAD * SP NX FX * F4 F17 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 * COOT FPSY TPC CM ES
Catholic Charities Community Services,,5119 North 19th Avenue,Suite G,Phoenix,Arizona,85015,602-749-4405,,,,,SA MH * OP * OMH * CBT CFT IPT * PVTN * MC MD SF * SS * SMON * ADLT CHLD SNR YAD * SP * VAPN * COOT
Childhelp Childrens Center of Arizona,,2120 North Central Avenue,Suite 130,Phoenix,Arizona,85004,602-271-4500,,,,,MH * OP * RTCC * AT CBT CFT GT IPT * PVTN * CLF CMHG CSBG FG MD OSF SCJJ SI SMHA SWFS * PA * CJ TRMA PTSD SED * TBS * CHLD * SP * VPPD * FPSY CM SPS
Community Bridges Inc,Cactus Integrated Care,1520 East Pima Street,,Phoenix,Arizona,85034,602-407-6280,877-931-9142,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PROCH THIOR ARIPI ASENA CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT EMDR GT IDD IPT TELE * PVTN * CLF CSBG MC MD MI OSF PI PCF SF SI SMHA VAF * PA SS * TAY GL ADM MF CJ CO TRMA PTSD SMI * STU * HIVT STDT TBS MST LABT * HS PEER * TCC * ADLT SNR YAD * AH * VPPD * ACT AOT CDM COOT SH VRS CM IPC
Community Bridges Inc,Central City,2770 East Van Buren Street,,Phoenix,Arizona,85008,602-273-9999,877-931-9142,,,,MH SUMH * HI OP * PSY * FLUPH HALOP ARIPI OLANZ PALIP QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CMHG MC MD MI PI SF SI SMHA * PA * CO * STU * PEER * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * FPSY IMR PRS CM IPC SPS ES
Community Connections LLC,Greenway,2301 East Greenway Road,,Phoenix,Arizona,85022,602-535-8313,623-242-8460,,,,MH SUMH * RES * RTCA * AT CBT CFT DBT EMDR GT IDD IPT * PVTP * MD * PED * ADLT SNR YAD * VPPD * DEC
Community Connections LLC,IOP,4025 West Bell Road,Suite 6,Phoenix,Arizona,85053,623-242-8460,,,,,MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IDD IPT TELE * PVTP * MHC * MD * PED * ADLT CHLD SNR YAD * VPPD * DEC FPSY
Community Connections LLC,Union Hills,18215 North 11th Drive,,Phoenix,Arizona,85023,602-283-5267,623-242-8460,,,,MH SUMH * RES * RTCA * AT CBT CFT DBT EMDR GT IDD IPT * PVTP * MD * PED SMI * ADLT SNR YAD * VPPD * DEC
Core Recovery LLC,,34225 North 27th Drive,"Building 5, Suite 146",Phoenix,Arizona,85085,602-810-1210,,,,,SA MH SUMH * OP PHDT * PH * NSC * AT CBT CFT DBT GT IDD IPT TELE AIM * PVTP * MHC * ITU MD MI PI SF * TAY SE GL VET MF CO TRMA PTSD SED SMI * STU * TCC * ADLT CHLD SNR YAD * VPPD * COOT FPSY PRS CM SPS ES
Crisis Preparation and Recovery Inc,,9321 West Thomas Road,Suite 100,Phoenix,Arizona,85037,480-804-0326,480-804-0326 x0,,,,SA MH * OP * OMH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * PVTP * FQHC * CLF MC MD PI SF SI SMHA * SS * STU * LABT * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * CM
Desert Mission,,9015 North 3rd Street,,Phoenix,Arizona,85020,480-882-4545,,,,,SA MH SUMH * OP * OMH * NRT NSC * CBT CRT CFT DBT EMDR IDD IPT TELE * PVTN * FQHC * MC MD PI SF SI VAF * SS * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * DEC IPC
Devereux Advanced Behavioral Health,Arizona,11024 North 28th Drive,Suite 110,Phoenix,Arizona,85029,602-944-6222,,602-732-6853,,,SA MH SUMH * OP * OMH * NRT NSC * CBT CFT DBT GT IDD IPT TELE * PVTN * CMHG MD SI * TAY GL CO TRMA PED PTSD SED * STU * TCC * CHLD YAD * SP * VPPD * COOT FPSY VRS CM SPS
Ebony House Inc,Youth/Young Adults Behav Health Servs,1616 East Indian School Road,Suite 100,Phoenix,Arizona,85016,602-254-6137,,,,,SA MH SUMH * OP * OMH * AT CBT CFT GT IDD IPT TELE * PVTN * MD PI SI * GL CO SED * SMON * CHLD * AH SP * VAPN * FPSY CM IPC
EMPACT Suicide Prevention Center,,1035 East Jefferson Street,Suite A,Phoenix,Arizona,85034,480-784-1514 x1126,480-784-1514,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR ARIPI CLOZA ILOPE OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT EMDR GT IDD IPT KIT TELE AIM * PEON * PVTN * CMHG CSBG MC MD * CO * STU * STDT TBS MST LABT * HS PEER * TCC * ADLT SNR YAD * AH SP * VPPD * ACT CDM COOT FPSY ICM IMR CM IPC ES
Family Service Agency,Central Site,2400 North Central Avenue,Suite 101,Phoenix,Arizona,85004,602-264-9891,602-726-4328 x8618,602-727-4339 x8622,,,SA MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * MC MD SF SWFS * SS * CO * ADLT CHLD SNR YAD * SP * VPPD * FPSY
Family Service Agency,Metro Site,10220 North 31st Avenue,Suites 103 and 105,Phoenix,Arizona,85051,602-863-1862,,,,,SA MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * MC MD SF SWFS * SS * CO * ADLT CHLD SNR YAD * SP * VPPD * FPSY
Florence Crittenton Services of AZ Inc,,715 West Mariposa Street,,Phoenix,Arizona,85013,602-274-7318 x109,,,,,SA MH * RES * RTCC * ARIPI CLOZA LURAS OLANZ QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IPT AIM * PVTN * CSBG ITU MD PI SCJJ SF SI SMHA SWFS * GL CJ CO DV TRMA PED PTSD SED * SMON * CHLD * VAPN * DEC ES
Focused Family Service,,1301 East McDowell Road,Suite 204,Phoenix,Arizona,85006,602-253-6259,602-609-6926,,,,SA MH SUMH * OP * MSMH * ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT TELE * PVTP * MC MD PI SF SI * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * PEER * ADLT CHLD SNR YAD * AH SP * VPPD * COOT FPSY PRS VRS CM
Freshstart Recovery,Dunbar House,2913 West Dunbar Drive,,Phoenix,Arizona,85041,480-343-0086,,602-299-3545,,,SA MH SUMH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH THIOR ARIPI CLOZA OLANZ OLANZF QUETI RISPE NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF * STG * ITU MD * CO * STU * HIVT STDT TBS MST HBT HCT LABT * HS * ADLT SNR YAD * VAPN * COOT DEC FPSY PRS VRS CM SPS ES
FreshStart Recovery,Donner House,2914 West Donner Drive,,Phoenix,Arizona,85041,480-343-0086,,,,,SA MH SUMH * OP PHDT RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH THIOR ARIPI CLOZA OLANZ OLANZF QUETI RISPE NRT ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF * PVTP STG * ITU MD SI * TAY CO SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS * TCC * ADLT SNR YAD * VAPN * COOT DEC FPSY PRS VRS CM SPS ES
