,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
860,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,15,"Sep 16 - Sep 28, 2020",2020-09-28,2020-09-28,26.4,23.0,30.1,23.0 - 30.1,26.0-29.1,
861,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,16,"Sep 30 - Oct 12, 2020",2020-10-12,2020-10-12,23.5,19.9,27.4,19.9 - 27.4,23.2-25.3,
862,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,17,"Oct 14 - Oct 26, 2020",2020-10-26,2020-10-26,22.0,19.3,25.0,19.3 - 25.0,13.3-22.3,
863,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-11-09,2020-11-09,28.6,23.7,34.0,23.7 - 34.0,27.1-33.2,
864,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-23,2020-11-23,25.6,21.0,30.6,21.0 - 30.6,23.8-25.9,
865,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-12-07,2020-12-07,25.7,22.4,29.3,22.4 - 29.3,23.8-26.2,
866,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-21,2020-12-21,27.2,23.3,31.3,23.3 - 31.3,26.8-28.7,
867,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-18,2021-01-18,24.8,20.9,29.1,20.9 - 29.1,22.9-25.5,
868,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-02-01,2021-02-01,26.1,22.0,30.6,22.0 - 30.6,24.1-26.1,
869,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-15,2021-02-15,22.2,19.2,25.5,19.2 - 25.5,13.9-23.2,
870,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-03-01,2021-03-01,30.8,27.1,34.7,27.1 - 34.7,28.2-32.5,
871,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-15,2021-03-15,26.8,23.4,30.4,23.4 - 30.4,26.0-28.5,
872,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-29,2021-03-29,26.4,22.7,30.4,22.7 - 30.4,25.4-27.1,
873,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-26,2021-04-26,25.0,21.5,28.8,21.5 - 28.8,24.6-27.4,
874,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,29,"Apr 28 - May 10, 2021",2021-05-10,2021-05-10,24.7,20.9,28.9,20.9 - 28.9,24.7-26.2,
875,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,30,"May 12 - May 24, 2021",2021-05-24,2021-05-24,29.4,25.4,33.6,25.4 - 33.6,28.5-31.7,
876,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,31,"May 26 - Jun 7, 2021",2021-06-07,2021-06-07,21.7,18.2,25.6,18.2 - 25.6,17.9-22.8,
877,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-21,2021-06-21,24.7,20.3,29.5,20.3 - 29.5,22.9-25.7,
878,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,33,"Jun 23 - Jul 5, 2021",2021-07-05,2021-07-05,25.2,21.5,29.2,21.5 - 29.2,24.1-26.3,
879,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,34,"Jul 21 - Aug 2, 2021",2021-08-02,2021-08-02,25.1,21.2,29.2,21.2 - 29.2,24.8-27.3,
880,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-16,2021-08-16,24.6,20.9,28.5,20.9 - 28.5,16.3-24.8,
881,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-30,2021-08-30,27.4,23.7,31.3,23.7 - 31.3,24.3-27.4,
882,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-13,2021-09-13,28.8,24.8,33.1,24.8 - 33.1,27.4-29.4,
883,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-27,2021-09-27,27.2,24.3,30.3,24.3 - 30.3,25.4-27.7,
884,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,39,"Sep 29 - Oct 11, 2021",2021-10-11,2021-10-11,22.8,18.5,27.5,18.5 - 27.5,15.5-25.2,
885,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-13,2021-12-13,28.2,24.7,31.9,24.7 - 31.9,27.2-30.3,
886,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2022-01-10,2022-01-10,23.3,20.5,26.3,20.5 - 26.3,17.2-23.8,
887,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.3,42,"Jan 26 - Feb 7, 2022",2022-02-07,2022-02-07,28.3,24.6,32.3,24.6 - 32.3,27.5-29.6,
888,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-14,2022-03-14,27.1,24.1,30.3,24.1 - 30.3,24.5-27.1,
889,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.4,44,"Mar 30 - Apr 11, 2022",2022-04-11,2022-04-11,29.0,25.1,33.1,25.1 - 33.1,28.6-30.6,
890,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.4,45,"Apr 27 - May 9, 2022",2022-05-09,2022-05-09,29.4,25.6,33.3,25.6 - 33.3,28.0-30.1,
891,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,"Aug 19 - Aug 31, 2020",2020-08-31,2020-08-31,18.8,15.7,22.3,15.7 - 22.3,18.5-20.5,
892,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,14,"Sep 2 - Sep 14, 2020",2020-09-14,2020-09-14,20.0,17.2,23.0,17.2 - 23.0,18.9-21.2,
893,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,15,"Sep 16 - Sep 28, 2020",2020-09-28,2020-09-28,22.4,19.7,25.2,19.7 - 25.2,21.4-22.9,
894,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,16,"Sep 30 - Oct 12, 2020",2020-10-12,2020-10-12,19.2,15.9,22.8,15.9 - 22.8,19.1-20.3,
895,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,17,"Oct 14 - Oct 26, 2020",2020-10-26,2020-10-26,17.7,15.0,20.6,15.0 - 20.6,10.0-19.1,
896,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-11-09,2020-11-09,23.8,18.9,29.1,18.9 - 29.1,21.8-23.8,
897,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-23,2020-11-23,20.1,16.2,24.5,16.2 - 24.5,13.2-20.1,
898,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-12-07,2020-12-07,20.6,18.0,23.5,18.0 - 23.5,20.3-23.3,
899,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-21,2020-12-21,21.9,18.6,25.5,18.6 - 25.5,20.2-23.1,
900,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-18,2021-01-18,20.1,16.8,23.8,16.8 - 23.8,20.1-21.9,
901,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-02-01,2021-02-01,21.0,17.6,24.8,17.6 - 24.8,20.5-23.0,
902,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-15,2021-02-15,18.7,15.9,21.7,15.9 - 21.7,12.1-19.4,
903,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-03-01,2021-03-01,24.7,21.1,28.6,21.1 - 28.6,22.7-24.7,
904,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-15,2021-03-15,22.8,19.5,26.3,19.5 - 26.3,22.8-23.8,
905,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-29,2021-03-29,22.2,18.9,25.8,18.9 - 25.8,19.4-22.2,
906,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-26,2021-04-26,20.7,17.3,24.5,17.3 - 24.5,20.0-21.0,
907,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,29,"Apr 28 - May 10, 2021",2021-05-10,2021-05-10,20.1,16.7,23.8,16.7 - 23.8,15.4-20.1,
908,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,30,"May 12 - May 24, 2021",2021-05-24,2021-05-24,23.2,19.3,27.4,19.3 - 27.4,22.6-24.7,
909,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,31,"May 26 - Jun 7, 2021",2021-06-07,2021-06-07,18.0,14.7,21.7,14.7 - 21.7,12.2-19.6,
910,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-21,2021-06-21,20.8,16.7,25.5,16.7 - 25.5,20.6-22.1,
911,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,33,"Jun 23 - Jul 5, 2021",2021-07-05,2021-07-05,20.3,17.3,23.5,17.3 - 23.5,20.3-23.1,
912,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,34,"Jul 21 - Aug 2, 2021",2021-08-02,2021-08-02,20.9,17.5,24.5,17.5 - 24.5,13.1-21.1,
913,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-16,2021-08-16,21.5,17.7,25.7,17.7 - 25.7,21.5-23.8,
914,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-30,2021-08-30,22.5,19.2,26.0,19.2 - 26.0,20.5-23.4,
915,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-13,2021-09-13,24.9,21.2,28.9,21.2 - 28.9,24.4-26.1,
916,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-27,2021-09-27,22.6,19.7,25.6,19.7 - 25.6,21.4-24.3,
917,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,39,"Sep 29 - Oct 11, 2021",2021-10-11,2021-10-11,19.6,15.7,23.9,15.7 - 23.9,12.7-20.7,
918,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-13,2021-12-13,23.9,20.5,27.6,20.5 - 27.6,23.6-27.0,
919,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2022-01-10,2022-01-10,19.6,16.9,22.5,16.9 - 22.5,14.3-20.4,
920,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.3,42,"Jan 26 - Feb 7, 2022",2022-02-07,2022-02-07,24.1,20.5,27.9,20.5 - 27.9,20.6-24.1,
921,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-14,2022-03-14,22.5,19.5,25.8,19.5 - 25.8,20.5-23.4,
922,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.4,44,"Mar 30 - Apr 11, 2022",2022-04-11,2022-04-11,23.2,19.7,27.0,19.7 - 27.0,21.7-24.3,
923,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.4,45,"Apr 27 - May 9, 2022",2022-05-09,2022-05-09,25.7,22.2,29.5,22.2 - 29.5,25.3-27.5,
924,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,2,13,"Aug 19 - Aug 31, 2020",2020-08-31,2020-08-31,7.7,5.7,10.1,5.7 - 10.1,5.7-7.7,
925,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,2,14,"Sep 2 - Sep 14, 2020",2020-09-14,2020-09-14,9.9,7.0,13.5,7.0 - 13.5,9.5-10.7,
926,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,2,15,"Sep 16 - Sep 28, 2020",2020-09-28,2020-09-28,9.3,6.6,12.5,6.6 - 12.5,8.7-9.7,
927,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,2,16,"Sep 30 - Oct 12, 2020",2020-10-12,2020-10-12,9.2,6.5,12.7,6.5 - 12.7,8.5-9.7,
928,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,2,17,"Oct 14 - Oct 26, 2020",2020-10-26,2020-10-26,12.4,8.4,17.3,8.4 - 17.3,12.0-14.1,
929,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-11-09,2020-11-09,14.3,8.7,21.7,8.7 - 21.7,12.7-16.9,
930,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-23,2020-11-23,11.3,8.0,15.4,8.0 - 15.4,10.9-12.1,
931,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-12-07,2020-12-07,15.3,11.0,20.4,11.0 - 20.4,13.0-18.5,
932,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-21,2020-12-21,13.5,9.9,17.7,9.9 - 17.7,12.8-13.6,
933,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-18,2021-01-18,9.0,6.2,12.5,6.2 - 12.5,7.3-10.1,
934,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-02-01,2021-02-01,8.2,4.9,12.8,4.9 - 12.8,5.9-9.7,
935,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-15,2021-02-15,9.1,6.6,12.2,6.6 - 12.2,7.0-9.6,
936,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-03-01,2021-03-01,9.0,6.3,12.5,6.3 - 12.5,5.8-10.2,
937,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-15,2021-03-15,8.8,5.3,13.5,5.3 - 13.5,6.2-10.2,
938,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-29,2021-03-29,8.8,6.0,12.5,6.0 - 12.5,6.2-9.4,
939,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-26,2021-04-26,5.5,3.1,9.1,3.1 - 9.1,5.5-8.1,
940,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.1,29,"Apr 28 - May 10, 2021",2021-05-10,2021-05-10,4.6,2.8,7.1,2.8 - 7.1,4.6-7.9,
941,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.1,30,"May 12 - May 24, 2021",2021-05-24,2021-05-24,7.5,5.5,9.9,5.5 - 9.9,3.3-8.5,
942,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.1,31,"May 26 - Jun 7, 2021",2021-06-07,2021-06-07,9.0,6.3,12.5,6.3 - 12.5,8.1-9.0,
943,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-21,2021-06-21,7.7,4.9,11.5,4.9 - 11.5,5.5-8.7,
944,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.1,33,"Jun 23 - Jul 5, 2021",2021-07-05,2021-07-05,9.0,5.9,13.0,5.9 - 13.0,8.4-9.9,
945,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.2,34,"Jul 21 - Aug 2, 2021",2021-08-02,2021-08-02,9.5,6.5,13.3,6.5 - 13.3,5.7-9.7,
946,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-16,2021-08-16,8.4,5.3,12.5,5.3 - 12.5,6.6-9.0,
947,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-30,2021-08-30,11.8,8.5,15.9,8.5 - 15.9,11.1-12.7,
948,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-13,2021-09-13,7.5,5.0,10.6,5.0 - 10.6,6.7-9.7,
949,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-27,2021-09-27,11.1,7.6,15.5,7.6 - 15.5,11.0-12.7,
950,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.2,39,"Sep 29 - Oct 11, 2021",2021-10-11,2021-10-11,11.8,8.5,15.9,8.5 - 15.9,11.0-12.1,
951,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-13,2021-12-13,8.3,5.8,11.5,5.8 - 11.5,7.2-9.5,
952,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2022-01-10,2022-01-10,12.7,9.0,17.1,9.0 - 17.1,11.7-13.0,
953,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.3,42,"Jan 26 - Feb 7, 2022",2022-02-07,2022-02-07,8.2,5.4,12.0,5.4 - 12.0,7.9-9.5,
954,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-14,2022-03-14,5.6,3.8,8.0,3.8 - 8.0,5.6-9.9,
955,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.4,44,"Mar 30 - Apr 11, 2022",2022-04-11,2022-04-11,12.0,7.2,18.3,7.2 - 18.3,11.1-12.4,
956,"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.4,45,"Apr 27 - May 9, 2022",2022-05-09,2022-05-09,6.6,3.7,10.8,3.7 - 10.8,6.6-9.5,
957,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,13,"Aug 19 - Aug 31, 2020",2020-08-31,2020-08-31,10.0,7.4,13.0,7.4 - 13.0,8.8-10.0,
958,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,14,"Sep 2 - Sep 14, 2020",2020-09-14,2020-09-14,9.3,6.5,12.8,6.5 - 12.8,9.0-9.9,
959,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,15,"Sep 16 - Sep 28, 2020",2020-09-28,2020-09-28,8.6,6.5,11.1,6.5 - 11.1,8.6-10.1,
960,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,16,"Sep 30 - Oct 12, 2020",2020-10-12,2020-10-12,7.3,5.2,9.9,5.2 - 9.9,4.6-7.6,
961,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,17,"Oct 14 - Oct 26, 2020",2020-10-26,2020-10-26,12.0,8.3,16.7,8.3 - 16.7,11.0-18.5,
962,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-11-09,2020-11-09,11.2,7.6,15.8,7.6 - 15.8,9.8-11.2,
963,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-23,2020-11-23,10.7,8.3,13.5,8.3 - 13.5,9.7-10.8,
964,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-12-07,2020-12-07,10.1,6.7,14.6,6.7 - 14.6,10.1-11.4,
965,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-21,2020-12-21,11.6,8.0,16.1,8.0 - 16.1,9.8-11.6,
966,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-18,2021-01-18,7.4,4.9,10.5,4.9 - 10.5,5.0-8.4,
967,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-02-01,2021-02-01,10.1,6.6,14.8,6.6 - 14.8,10.0-11.2,
968,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-15,2021-02-15,10.1,6.7,14.5,6.7 - 14.5,8.2-10.3,
969,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-03-01,2021-03-01,12.5,7.8,18.5,7.8 - 18.5,11.9-18.9,
970,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-15,2021-03-15,9.3,6.7,12.4,6.7 - 12.4,9.0-10.2,
971,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-29,2021-03-29,8.9,6.5,11.6,6.5 - 11.6,8.7-10.4,
972,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-26,2021-04-26,9.4,5.7,14.6,5.7 - 14.6,8.3-9.5,
973,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3.1,29,"Apr 28 - May 10, 2021",2021-05-10,2021-05-10,11.2,7.6,15.8,7.6 - 15.8,9.9-11.9,
974,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3.1,30,"May 12 - May 24, 2021",2021-05-24,2021-05-24,10.2,6.6,14.7,6.6 - 14.7,10.2-11.6,
